material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-756082,AlVO3,Orthorhombic,Pnma,62,20,184.739502091661,4.52739416621819,4.58359959937823,-160.49284486,-8.024642243,Al,V,O,0.0864430801250009,,,
mp-1246403,AlWN3,Triclinic,P-1,2,20,337.377093671115,4.97785328565008,4.97785320591037,-175.25550393,-8.7627751965,Al,W,N,0.320594918999999,,,
mp-1417649,AlWO3,Cubic,Pm-3m,221,5,65.7222945584315,6.53933783109774,6.53933783109774,-32.30526818,-6.461053636,Al,W,O,1.17843927125,,,
mp-1400236,AlWO3,Hexagonal,P6_3/mmc,194,10,120.069248441164,7.15887361222385,7.15887361222385,-69.02597247,-6.902597247,Al,W,O,0.736896008249996,,,
mp-1251647,AlWO3,Hexagonal,P6_3cm,185,30,326.17579046945,7.90580355213863,7.90580201471594,-212.74979595,-7.091659865,Al,W,O,0.548133606583329,,,
mp-1046804,AlWO3,Orthorhombic,Pnma,62,20,251.262242828705,6.84193983646795,6.8419396199401,-147.06862806,-7.353431403,Al,W,O,0.285851663249996,,,
mp-755240,AsAuO3,Monoclinic,C2/c,15,20,344.184045476289,6.17325317171236,6.17325327621264,-104.28875677,-5.2144378385,As,Au,O,0.117542796166668,,,
mp-27274,AsCF3,Tetragonal,P4_2/nmc,137,40,744.610372514925,2.56775635979426,2.56775650807442,-205.21668596,-5.130417149,As,C,F,0.49251551625,,,
mp-1183283,BaAlO3,Cubic,Pm-3m,221,5,61.9512036381083,5.69066640911675,5.69066597279541,-32.92458761,-6.584917522,Ba,Al,O,0.16936120075,,,
mp-1183287,BaAuO3,Cubic,Pm-3m,221,5,74.707772900921,8.49724724234547,8.4972478325448,-25.21885709,-5.043771418,Ba,Au,O,0.198319594999998,,,
mp-1183282,BaBeO3,Cubic,Pm-3m,221,5,59.0494622019008,5.46499159989606,5.46499281752327,-28.56285063,-5.712570126,Ba,Be,O,0.517310855,,,
mp-545783,BaBiO3,Cubic,Pm-3m,221,5,86.8272577570008,7.540948198682,7.5409484397547,-59.27378393,-5.927378393,Ba,Bi,O,0.0212110020000003,,,
mp-644369,BaBiO3,Triclinic,P1,1,10,194.217869126087,6.74252946884182,6.74252943574575,-52.65536289,-5.265536289,Ba,Bi,O,0.946954908,,,
mp-1227955,BaBiO3,Trigonal,R32,155,5,87.3198257964025,7.49840997742953,7.49841088053666,-29.62019461,-5.924038922,Ba,Bi,O,0.022849194,,,
mp-23438,BaBiO3,Cubic,Fm-3m,225,10,173.598638181834,7.54337545313381,7.54500266341285,-59.27040981,-5.927040981,Ba,Bi,O,0.024886167,,,
mp-559051,BaBiO3,Monoclinic,P2_1/c,14,20,334.666046720743,7.82582947263255,7.5826937644321,-119.03572385,-5.9517861925,Ba,Bi,O,0,106.633071028079,106.072737931155,106.352904479617
