material_id,formula_pretty,icsd,crystal_system,symbol,number,point_group,nsites,nelements,volume,density,energy_per_atom,formation_energy_per_atom
mp-850194,TiNiO3,,Trigonal,R3c,161.0,3m,10.0,3.0,100.00880325404600,5.132560035281100,-8.286667864,-2.583528897916670
mp-18732,TiNiO3,"['icsd-33856', 'icsd-33854', 'icsd-171584', 'icsd-33855', 'icsd-15988', 'icsd-38157']",Trigonal,R-3,148.0,-3,10.0,3.0,100.19293107218300,5.123127762259020,-8.300620009,-2.597481042916670
mp-698587,TiNiO3,,Triclinic,P1,1.0,1,50.0,3.0,516.7503733668700,4.966626181744280,-8.280607195,-2.577468228916670
mp-20459,TiPbO3,"['icsd-162048', 'icsd-61168', 'icsd-51838', 'icsd-186727', 'icsd-61169', 'icsd-1610', 'icsd-1612', 'icsd-162046', 'icsd-162044', 'icsd-90693', 'icsd-16621', 'icsd-55059', 'icsd-60188', 'icsd-55061', 'icsd-93553', 'icsd-51840', 'icsd-1611', 'icsd-55060', 'icsd-31152', 'icsd-55054', 'icsd-55056', 'icsd-51841', 'icsd-162045', 'icsd-55058', 'icsd-55057', 'icsd-165498', 'icsd-51839', 'icsd-236933', 'icsd-55055', 'icsd-161709']",Tetragonal,P4mm,99.0,4mm,5.0,3.0,64.50656431866490,7.801556471692710,-8.020994206000000,-2.7313531619166700
mp-19845,TiPbO3,"['icsd-162043', 'icsd-187295', 'icsd-1613', 'icsd-187505', 'icsd-262090', 'icsd-153406', 'icsd-162047']",Cubic,Pm-3m,221.0,m-3m,5.0,3.0,62.52581792285580,8.048700857425850,-7.9797724600000000,-2.690131415916670
mp-1106215,TiPbO3,"['icsd-182928', 'icsd-182929', 'icsd-182930']",Tetragonal,I4/m,87.0,4/m,20.0,3.0,294.1999112684280,6.8423080368338500,-8.017888695,-2.728247650916670
mp-989613,TiPN3,,Orthorhombic,Amm2,38.0,mm2,5.0,3.0,65.01044611865270,3.0871066875569200,-8.671423264,-1.0077674043333300
mp-989624,TiPN3,,Monoclinic,C2/c,15.0,2/m,20.0,3.0,196.48484372343000,4.085692904770750,-8.6854144385,-1.0217585788333300
mp-996940,TiReN3,,Trigonal,R3c,161.0,3m,10.0,3.0,106.7880800793470,8.586445954775320,-9.801000126,-0.731099330666666
mp-1018639,TiSnO3,['icsd-186724'],Cubic,Pm-3m,221.0,m-3m,5.0,3.0,61.66409761506850,5.778248869345960,-7.946378162,-2.5973521609166700
