Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
ScVO3,Sc,V,O,3.0,0.87,,,1.42,-2
SmVO3,Sm,V,O,,,,,1.42,-2
SrVO3,Sr,V,O,2.0,1.44,,,1.42,-2
TbVO3,Tb,V,O,,,,,1.42,-2
TiVO3,Ti,V,O,,,,,1.42,-2
TlVO3,Tl,V,O,,,,,1.42,-2
TmVO3,Tm,V,O,,,,,1.42,-2
YVO3,Y,V,O,3.0,1.075,,,1.42,-2
YbVO3,Yb,V,O,,,,,1.42,-2
AgAsO3,Ag,As,O,,,,,1.42,-2
CeAsO3,Ce,As,O,,,,,1.42,-2
CsAsO3,Cs,As,O,1.0,1.88,,,1.42,-2
CuAsO3,Cu,As,O,,,,,1.42,-2
EuAsO3,Eu,As,O,,,,,1.42,-2
FeAsO3,Fe,As,O,,,,,1.42,-2
GdAsO3,Gd,As,O,3.0,1.107,,,1.42,-2
InAsO3,In,As,O,3.0,0.92,,,1.42,-2
KAsO3,K,As,O,1.0,1.64,,,1.42,-2
LaAsO3,La,As,O,3.0,1.36,,,1.42,-2
LiAsO3,Li,As,O,1.0,0.92,,,1.42,-2
NaAsO3,Na,As,O,1.0,1.39,,,1.42,-2
NiAsO3,Ni,As,O,,,,,1.42,-2
RbAsO3,Rb,As,O,1.0,1.72,,,1.42,-2
SbAsO3,Sb,As,O,,,,,1.42,-2
ScAsO3,Sc,As,O,3.0,0.87,,,1.42,-2
SrAsO3,Sr,As,O,2.0,1.44,,,1.42,-2
AgAuO3,Ag,Au,O,,,,,1.42,-2
AlAuO3,Al,Au,O,3.0,0.535,,,1.42,-2
AsAuO3,As,Au,O,,,,,1.42,-2
BaAuO3,Ba,Au,O,2.0,1.61,,,1.42,-2
BAuO3,B,Au,O,3.0,0.27,,,1.42,-2
BeAuO3,Be,Au,O,2.0,0.45,,,1.42,-2
CoAuO3,Co,Au,O,,,,,1.42,-2
CsAuO3,Cs,Au,O,1.0,1.88,,,1.42,-2
EuAuO3,Eu,Au,O,,,,,1.42,-2
KAuO3,K,Au,O,1.0,1.64,,,1.42,-2
LaAuO3,La,Au,O,3.0,1.36,,,1.42,-2
PbAuO3,Pb,Au,O,,,,,1.42,-2
RbAuO3,Rb,Au,O,1.0,1.72,,,1.42,-2
SbAuO3,Sb,Au,O,,,,,1.42,-2
SrAuO3,Sr,Au,O,2.0,1.44,,,1.42,-2
YbAuO3,Yb,Au,O,,,,,1.42,-2
